frame_id,track_count,active_track_ids,arm_velocity,body_velocity,fall_score,approach_velocity,risk_score,fused_score,state,active_rules,persistence_scores
1,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,NORMAL,,{}
2,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,NORMAL,,{}
3,1,1,0.0000,0.0000,0.3482,0.0000,0.0000,0.0000,NORMAL,,{}
4,1,1,0.0547,0.0305,0.3425,0.0000,0.0000,0.0000,NORMAL,,{}
5,1,1,0.0000,0.0000,0.3425,0.0000,0.0000,0.0000,NORMAL,,{}
6,1,1,0.1171,0.0654,0.3505,0.0000,0.0000,0.0000,NORMAL,,{}
7,1,1,0.0000,0.0000,0.3505,0.0000,0.0000,0.0000,NORMAL,,{}
8,1,1,0.0669,0.0613,0.3369,0.0000,0.0000,0.0000,NORMAL,,{}
9,1,1,0.0000,0.0000,0.3369,0.0000,0.0000,0.0000,NORMAL,,{}
10,1,1,0.0148,0.0541,0.3308,0.0000,0.0000,0.0000,NORMAL,,{}
11,1,1,0.0000,0.0000,0.3308,0.0000,0.0000,0.0000,NORMAL,,{}
12,1,1,0.2104,0.7055,0.3136,0.0000,0.0000,0.0000,NORMAL,,{}
13,1,1,0.0000,0.0000,0.3136,0.0000,0.0000,0.0000,NORMAL,,{}
14,1,1,0.0685,0.3056,0.2699,0.0000,0.0000,0.0000,NORMAL,,{}
15,1,1,0.0000,0.0000,0.2699,0.0000,0.0000,0.0000,NORMAL,,{}
16,1,1,0.0904,0.1216,0.2911,0.0000,0.0000,0.0000,NORMAL,,{}
17,1,1,0.0000,0.0000,0.2911,0.0000,0.0000,0.0000,NORMAL,,{}
18,1,1,0.1348,0.0942,0.3124,0.0000,0.0000,0.0000,NORMAL,,{}
19,1,1,0.0000,0.0000,0.3124,0.0000,0.0000,0.0000,NORMAL,,{}
20,1,1,0.0806,0.2576,0.3119,0.0000,0.0000,0.0000,NORMAL,,{}
21,1,1,0.0000,0.0000,0.3119,0.0000,0.0000,0.0000,NORMAL,,{}
22,1,1,0.2475,0.2498,0.2811,0.0000,0.0000,0.0000,NORMAL,,{}
23,1,1,0.0000,0.0000,0.2811,0.0000,0.0000,0.0000,NORMAL,,{}
24,1,1,0.2423,0.1063,0.3172,0.0000,0.0000,0.0000,NORMAL,,{}
25,1,1,0.0000,0.0000,0.3172,0.0000,0.0000,0.0000,NORMAL,,{}
26,1,1,0.4212,0.0674,0.3176,0.0000,0.0000,0.0000,NORMAL,,{}
27,1,1,0.0000,0.0000,0.3176,0.0000,0.0000,0.0000,NORMAL,,{}
28,1,1,0.3142,0.2293,0.2835,0.0000,0.0000,0.0000,NORMAL,,{}
29,1,1,0.0000,0.0000,0.2835,0.0000,0.0000,0.0000,NORMAL,,{}
30,1,1,0.3555,0.1454,0.2754,0.0000,0.0000,0.0000,NORMAL,,{}
31,1,1,0.0000,0.0000,0.2754,0.0000,0.0000,0.0000,NORMAL,,{}
32,1,1,0.2051,0.1812,0.2932,0.0000,0.0000,0.0000,NORMAL,,{}
33,1,1,0.0000,0.0000,0.2932,0.0000,0.0000,0.0000,NORMAL,,{}
34,2,1;2,0.1921,0.3020,0.2975,0.0000,0.0000,0.0000,NORMAL,,{}
35,2,1;2,0.0000,0.0000,0.2975,0.0000,0.0000,0.0000,NORMAL,,{}
36,2,1;2,0.1583,0.3014,0.2919,0.0000,0.0000,0.0000,NORMAL,,{}
37,2,1;2,0.0000,0.0000,0.2919,0.0000,0.0000,0.0000,NORMAL,,{}
38,2,1;2,0.3814,0.5526,0.3257,0.0000,0.0000,0.0000,NORMAL,,{}
39,2,1;2,0.0000,0.0000,0.3257,0.0000,0.0000,0.0000,NORMAL,,{}
40,2,1;2,0.2972,0.1832,0.3009,0.0000,0.0000,0.0000,NORMAL,,{}
41,2,1;2,0.0000,0.0000,0.3009,0.0000,0.0000,0.0000,NORMAL,,{}
42,2,1;2,0.2377,0.1647,0.2707,0.0000,0.0000,0.0000,NORMAL,,{}
43,2,1;2,0.0000,0.0000,0.2707,0.0000,0.0000,0.0000,NORMAL,,{}
44,2,1;2,0.1842,0.1157,0.2426,0.0000,0.0000,0.0000,NORMAL,,{}
45,2,1;2,0.0000,0.0000,0.2426,0.0000,0.0000,0.0000,NORMAL,,{}
46,2,1;2,1.3094,4.0244,0.3908,0.8407,0.0000,0.0000,NORMAL,,{}
47,2,1;2,0.0000,0.0000,0.3908,0.0000,0.0000,0.0000,NORMAL,,{}
48,2,1;2,1.0276,0.9640,0.4596,-0.7924,0.0000,0.0000,NORMAL,,{}
49,2,1;2,0.0000,0.0000,0.4596,0.0000,0.0000,0.0000,NORMAL,,{}
50,2,1;2,0.7041,3.3266,0.3094,-2.2126,0.0000,0.0000,NORMAL,,{}
51,2,1;2,0.0000,0.0000,0.3094,0.0000,0.0000,0.0000,NORMAL,,{}
52,2,1;2,1.2241,2.6544,0.3067,1.4817,0.0000,0.0000,NORMAL,,{}
53,2,1;2,0.0000,0.0000,0.3067,0.0000,0.0000,0.0000,NORMAL,,{}
54,2,1;2,0.5916,0.6496,0.3513,-0.2414,0.0000,0.0000,NORMAL,,{}
55,2,1;2,0.0000,0.0000,0.3513,0.0000,0.1959,0.1959,NORMAL,CAMERA_RUSH,"{""[2]"": 0.19592616453105816}"
56,2,1;2,1.1208,1.1059,0.3562,0.7540,0.1803,0.1803,NORMAL,,"{""[2]"": 0.18025207136857352}"
